label,train_images,validation_images
Adialer.C,105,16
Agent.FYI,100,16
Allaple.A,2653,296
Allaple.L,1431,160
Alueron.grn!J,174,24
Autorun.K,90,16
C2LOP.gen!g,175,24
C2LOP.P,130,16
Dialplatform.B,153,24
Dontovo.A,146,16
Fakerean,349,32
Instanaccess,391,40
Lolyda.AA1,189,24
Lolyda.AA2,160,24
Lolyda.AA3,107,16
Lolyda.AT,143,16
Malex.gen!J,120,16
No_malware,260,32
Obfuscator.AD,126,16
Rbot!gen,142,16
Skintrim.N,64,16
Swizzor.gen!E,112,16
Swizzor.gen!l,116,16
VB.AT,368,40
Wintrim.BX,81,16
Yuner.a,720,80
